timestamp,buy_volume,sell_volume
2011-07-24T00:00:00.000Z,228.03821767,121.77779231999999
2011-07-25T00:00:00.000Z,195.76213857000002,76.06
2011-07-26T00:00:00.000Z,106.78488502999998,500
2011-07-27T00:00:00.000Z,24.204099890000002,25.46
2011-07-28T00:00:00.000Z,3173.66129859,13.02
2011-07-29T00:00:00.000Z,293.95683078,82.32700594
2011-07-30T00:00:00.000Z,24.66603225,71.35
2011-07-31T00:00:00.000Z,80.17539961000001,0
2011-08-01T00:00:00.000Z,68.79516563000001,0
2011-08-02T00:00:00.000Z,66.04113535000002,50.2
2011-08-03T00:00:00.000Z,55.78282176,25
2011-08-04T00:00:00.000Z,157.85919366,5.07
2011-08-05T00:00:00.000Z,51.94891169,104
2011-08-06T00:00:00.000Z,44.00072772,0
2011-08-07T00:00:00.000Z,31.509488830000002,10.19
2011-08-08T00:00:00.000Z,4791.28970982,3
2011-08-09T00:00:00.000Z,589.28703343,25.089537149999998
2011-08-10T00:00:00.000Z,47.605432330000006,15.52249304
2011-08-11T00:00:00.000Z,38.17293890999999,298.09999999999997
2011-08-12T00:00:00.000Z,182.55396138,0
2011-08-13T00:00:00.000Z,29.901393380000002,12.92
2011-08-14T00:00:00.000Z,47.10147124,0
2011-08-15T00:00:00.000Z,11.49453128,38.93
2011-08-16T00:00:00.000Z,143.27632724999998,0
2011-08-17T00:00:00.000Z,55.478053339999995,4.619999999999999
2011-08-18T00:00:00.000Z,63.38951604999999,0
2011-08-19T00:00:00.000Z,21.89211282,67.72
2011-08-20T00:00:00.000Z,83.61539051000001,0
2011-08-21T00:00:00.000Z,43.36183494,0
2011-08-22T00:00:00.000Z,47.654138239999995,38.82
2011-08-23T00:00:00.000Z,96.25777545,5.07
2011-08-24T00:00:00.000Z,177.67274667000004,5.16
2011-08-25T00:00:00.000Z,189.23559211000003,291.98827015
2011-08-26T00:00:00.000Z,86.01911923,199.98619085
2011-08-27T00:00:00.000Z,91.91050312000002,60.68
